Date,Temperature
1975-07,25.6
1975-08,27.3
1975-09,25.2
1975-10,17.3
1975-11,12.7
1975-12,6.7
1976-01,5.4
1976-02,6.8
1976-03,9.0
1976-04,13.0
1976-05,17.7
1976-06,21.5
1976-07,23.9
1976-08,25.1
1976-09,22.0
1976-10,17.5
1976-11,11.2
1976-12,7.3
1977-01,3.4
1977-02,4.9
1977-03,9.3
1977-04,15.1
1977-05,18.7
1977-06,20.9
1977-07,25.8
1977-08,25.0
1977-09,24.3
1977-10,18.7
1977-11,14.8
1977-12,8.9
1978-01,5.6
1978-02,4.2
1978-03,8.7
1978-04,13.9
1978-05,19.0
1978-06,23.8
1978-07,27.8
1978-08,28.9
1978-09,22.2
1978-10,17.3
1978-11,12.9
1978-12,8.5
1979-01,6.6
1979-02,8.4
1979-03,9.9
1979-04,13.9
1979-05,18.6
1979-06,24.4
1979-07,25.2
1979-08,27.4
1979-09,24.1
1979-10,19.6
1979-11,14.3
1979-12,10.1
1980-01,5.6
1980-02,5.2
1980-03,8.2
1980-04,13.6
1980-05,19.2
1980-06,23.6
1980-07,23.8
1980-08,23.4
1980-09,23.0
1980-10,18.2
1980-11,13.0
1980-12,7.7
1981-01,4.4
1981-02,5.3
1981-03,9.0
1981-04,13.9
1981-05,17.5
1981-06,20.2
1981-07,26.3
1981-08,26.2
1981-09,21.8
1981-10,17.6
1981-11,10.4
1981-12,7.6
1982-01,5.8
1982-02,5.5
1982-03,9.9
1982-04,14.0
1982-05,20.7
1982-06,21.4
1982-07,23.1
1982-08,27.1
1982-09,22.3
1982-10,18.0
1982-11,14.3
1982-12,9.5
1983-01,6.2
1983-02,6.1
1983-03,8.6
1983-04,15.9
1983-05,19.7
1983-06,20.5
1983-07,23.8
1983-08,27.5
1983-09,23.1
1983-10,17.7
1983-11,12.3
1983-12,7.1
1984-01,3.7
1984-02,3.0
1984-03,5.9
1984-04,11.6
1984-05,17.2
1984-06,21.8
1984-07,26.2
1984-08,28.6
1984-09,23.5
1984-10,17.7
1984-11,12.2
1984-12,7.7
1985-01,4.1
1985-02,6.5
1985-03,7.8
1985-04,14.2
1985-05,19.1
1985-06,20.2
1985-07,26.3
1985-08,27.9
1985-09,23.1
1985-10,17.9
1985-11,13.3
1985-12,7.4
1986-01,4.5
1986-02,4.3
1986-03,7.8
1986-04,13.9
1986-05,17.9
1986-06,21.1
1986-07,23.9
1986-08,26.8
1986-09,23.7
1986-10,17.1
1986-11,12.3
1986-12,8.5
1987-01,5.8
